_id,author,category,etext,language,title,zipfile
3278,"James, Henry",Fiction,http://www.gutenberg.org/etext/211,English,"Aspern Papers, The",http://www.archive.org/download/aspernpapers_0907_librivox/aspernpapers_0907_librivox_64kb_mp3.zip
3279,"Coolidge, Susan",Fiction,http://www.gutenberg.org/etext/8995,English,What Katy Did Next,http://www.archive.org/download/what_katy_did_next_1001_librivox/what_katy_did_next_1001_librivox_64kb_mp3.zip
3280,"Besant, Walter",Non-fiction,http://www.archive.org/details/artfiction00jamegoog,English,"Art of Fiction, The",http://www.archive.org/download/art_of_fiction_jvw_librivox/art_of_fiction_jvw_librivox_64kb_mp3.zip
3281,"Buckley, Arabella B.",Non-fiction,http://www.mainlesson.com/display.php?author=buckley&book=pond&story=_contents,English,By Pond and River,http://www.archive.org/download/by_pond_and_river_0907_librivox/by_pond_and_river_0907_librivox_64kb_mp3.zip
3282,"Burckhardt, Jacob Christoph",Non-fiction,http://www.archive.org/details/weltgeschichtli00oerigoog,German,Weltgeschichtliche Betrachtungen,http://www.archive.org/download/weltgeschichtliche_betrachtungen_rr_librivox/weltgeschichtliche_betrachtungen_rr_librivox_64kb_mp3.zip
3283,"Chesnut, Mary",Non-fiction,http://docsouth.unc.edu/southlit/chesnut/maryches.html,English,"Diary from Dixie, A",http://www.archive.org/download/diaryfromdixie_1101_librivox/diaryfromdixie_1101_librivox_64kb_mp3.zip
3284,"Sack, Gustav",Fiction,"http://www.zeno.org/Literatur/M/Sack,+Gustav/Romane/Ein+verbummelter+Student",German,Ein verbummelter Student,http://www.archive.org/download/verbummelter_student_0911_librivox/verbummelter_student_0911_librivox_64kb_mp3.zip
3285,"Various, ",,,English,Short Poetry Collection 161,
3286,"Archer, Thomas",Fiction,http://www.gutenberg.org/etext/28996,English,"Miss Grantley's Girls, and the Stories She Told Them",http://www.archive.org/download/missgrantleysgirls_0908_librivox/missgrantleysgirls_0908_librivox_64kb_mp3.zip
3287,"Muir, Ward",Non-fiction,http://www.gutenberg.org/etext/17655,English,Observations of an Orderly,http://www.archive.org/download/observations_of_an_orderly_0909_librivox/observations_of_an_orderly_0909_librivox_64kb_mp3.zip
3288,"Smith, E. E. “Doc”",Fiction,http://www.gutenberg.org/etext/20782,English,Triplanetary,http://www.archive.org/download/triplanetary_0907_librivox/triplanetary_0907_librivox_64kb_mp3.zip
3289,"Dunbar, Paul Laurence",Poetry,http://theotherpages.org/poems/books/dunbar/dunbar06.html#sleep,English,Ere Sleep Comes Down to Soothe the Weary Eyes,http://www.archive.org/download/ere_sleep_comes_down_0907.poem_librivox/ere_sleep_comes_down_0907.poem_librivox_64kb_mp3.zip
3290,"Dennis, C. J.",Poetry,http://www.gutenberg.org/dirs/1/6/2/5/16251/16251-h/16251-h.htm#item-51,English,"Publisher, The",http://www.archive.org/download/publisher_0907_librivox/publisher_0907_librivox_64kb_mp3.zip
3291,"Burbank, Emily",Non-fiction,http://www.gutenberg.org/ebooks/18901,English,Woman as Decoration,http://www.archive.org/download/woman_as_decoration_0910_librivox/woman_as_decoration_0910_librivox_64kb_mp3.zip
3292,"Hawthorne, Nathaniel",Fiction,http://www.gutenberg.org/etext/976,English,Tanglewood Tales,http://www.archive.org/download/tanglewood_tales_0912_librivox/tanglewood_tales_0912_librivox_64kb_mp3.zip
3295,Various,Fiction,,English,Short Science Fiction Collection 021,http://www.archive.org/download/short_scifi_21_0907_librivox/short_scifi_21_0907_librivox_64kb_mp3.zip
3296,"Werfel, Franz",,,German,Versuchung,
3298,"Bennett, Arnold",Fiction,http://manybooks.net/pages/bennettaother07anna_of_the_five_towns/0.html,English,Anna of the Five Towns,http://www.archive.org/download/annafivetowns_0912_librivox/annafivetowns_0912_librivox_64kb_mp3.zip
3299,"Thackeray, William Makepeace",Non-fiction,http://www.gutenberg.org/etext/2686,English,"Book of Snobs, The",http://www.archive.org/download/the_book_of_snobs_0911_librivox/the_book_of_snobs_0911_librivox_64kb_mp3.zip
3300,"Wilcox, Ella Wheeler",,,English,Solitude (Wilcox),
